State,Year,Crime,Crime_Description,City,Evidence_Details,Police_Department,Case_Status,Convictions,Acquittals
Bihar,2012,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Patna,Eyewitness accounts,Traffic Enforcement Unit,Closed,Convicted,Yes
Arunachal Pradesh,2001,White-Collar Crime,Corporate espionage by rival companies,Naharlagun,Property ownership documents,Highway Patrol,Closed,Convicted,No
Goa,2012,Money Laundering,Real estate purchases made with illegally obtained cash to launder funds,Mormugao,"Physical evidence (e.g., fingerprints, DNA)",Major Crimes Unit,Under Investigation,Not convicted,No
Telangana,1998,Terrorist Attack,Chemical attack on government building leads to evacuation and decontamination efforts,Hyderabad,"Physical evidence (e.g., fingerprints, DNA)",Forensic Science Division,Open,Not convicted,No
Punjab,1979,Vandalism,Defacing a monument,Mohali,Vehicle registration records,K-9 Unit,Closed,Not convicted,No
Uttar Pradesh,2002,Car Theft,Carjacking of a taxi cab by a lone assailant,Bareilly,Medical reports,SWAT Team,Open,Not convicted,No
Bihar,2023,Embezzlement,Misappropriation of funds by a financial advisor,Darbhanga,Phone records,Metropolitan Police Department,Under Investigation,Convicted,No
Himachal Pradesh,2007,Drug Trafficking,Undercover sting operation targeting drug dealers in a high-crime area,Solan,Photographic evidence,City Police Department,Open,Convicted,Yes
Sikkim,2009,Money Laundering,Real estate purchases made with illegally obtained cash to launder funds,Nayabazar,Video surveillance footage,State Police Department,Under Investigation,Not convicted,No
Andhra Pradesh,2017,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Kakinada,Financial transactions,State Police Department,Closed,Not convicted,Yes
Rajasthan,1983,Assault,Street fight between two individuals,Ajmer,Financial transactions,Community Policing Unit,Open,Not convicted,No
Jharkhand,2007,Vandalism,Defacing a monument,Hazaribagh,Crime scene photographs,Victim Services Division,Closed,Convicted,No
West Bengal,2005,Child Abduction,Child abduction by a stranger at a playground,Haldia,Expert witness testimony,Cyber Crimes Unit,Under Investigation,Partially convicted,No
Goa,1995,Child Abduction,Amber Alert issued for missing child,Ponda,Video surveillance footage,Fraud Investigation Unit,Under Investigation,Convicted,Yes
Mizoram,1999,Theft,Package theft from porches,Khawzawl,Confession statements,Highway Patrol,Open,Convicted,Yes
Tamil Nadu,2017,Theft,Grand theft auto of a luxury vehicle,Salem,Character witness testimonies,Fraud Investigation Unit,Closed,Not convicted,No
Himachal Pradesh,2007,Assault,Domestic dispute turned violent,Chamba,Eyewitness accounts,Forensic Science Division,Under Investigation,Convicted,Yes
Rajasthan,1982,Child Abduction,Amber Alert issued for missing child,Sikar,Photographic evidence,Fraud Investigation Unit,Closed,Not convicted,Yes
Tamil Nadu,2024,Domestic Violence,Child abuse within a family,Tiruchirappalli,Video surveillance footage,Fraud Investigation Unit,Closed,Not convicted,No
Jharkhand,2001,Human Trafficking,Human smuggling operation intercepted at the border,Deoghar,"Digital evidence (e.g., emails, text messages)",Special Operations Division,Closed,Not convicted,Yes
Rajasthan,2019,Domestic Violence,Spousal abuse in a domestic setting,Bikaner,Witness statements,Special Operations Division,Closed,Partially convicted,No
Himachal Pradesh,1973,Vandalism,Graffiti on public property,Kangra,Video surveillance footage,Fraud Investigation Unit,Under Investigation,Convicted,Yes
Rajasthan,1977,Fraud,Tax evasion,Bikaner,Audio recordings,Bureau of Investigation,Open,Partially convicted,No
Haryana,2021,Drug Possession,Drug deal in a park,Gurgaon,Property ownership documents,Highway Patrol,Under Investigation,Partially convicted,Yes
Manipur,1985,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Kakching,Forensic analysis reports,Metropolitan Police Department,Under Investigation,Convicted,No
Jharkhand,1979,Drug Trafficking,"Large drug bust at a warehouse, seizing tons of illicit substances",Dhanbad,Confession statements,Bureau of Investigation,Under Investigation,Not convicted,No
Kerala,1984,Money Laundering,Shell corporations established to disguise illicit funds as legitimate income,Malappuram,"Digital evidence (e.g., emails, text messages)",Community Policing Unit,Under Investigation,Convicted,Yes
Nagaland,1995,Public Corruption,Elected official arrested for accepting bribes in exchange for political favors,Dimapur,Expert witness testimony,Community Policing Unit,Closed,Partially convicted,No
West Bengal,1997,Forgery,Forgery of legal documents for identity theft,Asansol,Vehicle registration records,Highway Patrol,Open,Partially convicted,Yes
Meghalaya,1986,Robbery,Armed robbery at a convenience store,Williamnagar,Expert witness testimony,Special Operations Division,Under Investigation,Not convicted,No
Rajasthan,1979,Drug Possession,Drug trafficking in a residential area,Bhilwara,"Digital evidence (e.g., emails, text messages)",Homicide Unit,Open,Convicted,No
Arunachal Pradesh,2013,Theft,Pickpocketing in a crowded market,Tezu,Medical reports,Community Policing Unit,Open,Not convicted,No
Uttar Pradesh,1992,Theft,Grand theft auto of a luxury vehicle,Saharanpur,Vehicle registration records,Fraud Investigation Unit,Under Investigation,Convicted,No
Gujarat,1984,Terrorist Attack,"Suicide bombing targets crowded marketplace, resulting in mass casualties",Gandhinagar,Property ownership documents,Victim Services Division,Closed,Partially convicted,Yes
Chhattisgarh,1970,Organized Crime,"Illegal gambling ring busted, dismantling criminal enterprise",Chirmiri,Bank statements,Forensic Science Division,Open,Partially convicted,No
Nagaland,1993,White-Collar Crime,Insider trading on the stock market,Peren,Medical reports,Special Investigations Unit,Under Investigation,Convicted,No
Goa,2014,White-Collar Crime,Counterfeiting money operation,Margao,Forensic analysis reports,Cyber Crimes Unit,Open,Partially convicted,Yes
Andhra Pradesh,1970,Armed Robbery,Jewelry store heist involving a group of armed robbers,Tirupati,"Physical evidence (e.g., fingerprints, DNA)",Narcotics Division,Under Investigation,Not convicted,No
Manipur,2017,Car Theft,"Vehicle theft ring dismantled by police, recovering multiple stolen cars",Imphal,Forensic analysis reports,Forensic Science Division,Closed,Not convicted,No
Nagaland,1974,Arson,Wildfire arson in a forest,Zunheboto,Financial transactions,State Police Department,Under Investigation,Not convicted,Yes
Kerala,2003,Burglary,Shoplifting at a local store,Thrissur,Eyewitness accounts,Major Crimes Unit,Open,Not convicted,Yes
Mizoram,2006,Organized Crime,Mafia family indicted on charges of racketeering and extortion,Saitual,Expert witness testimony,Cyber Crimes Unit,Open,Not convicted,No
Madhya Pradesh,1978,Child Abduction,Parental kidnapping during a custody dispute,Rewa,Vehicle registration records,Cyber Crimes Unit,Closed,Partially convicted,No
Tripura,2018,Hate Crime,Assault on LGBTQ+ individual in a hate-motivated attack,Kailasahar,"Digital evidence (e.g., emails, text messages)",Highway Patrol,Closed,Partially convicted,No
Odisha,2000,Kidnapping,Virtual kidnapping scam,Bhadrak,Forensic analysis reports,State Police Department,Closed,Convicted,Yes
Nagaland,1981,Assault,Physical altercation at a bar,Longleng,Confession statements,K-9 Unit,Closed,Convicted,Yes
West Bengal,2011,Fraud,Insurance fraud scheme,Haldia,Character witness testimonies,Traffic Enforcement Unit,Open,Not convicted,Yes
Manipur,1971,Drug Possession,Drug deal in a park,Jiribam,Forensic analysis reports,Fraud Investigation Unit,Under Investigation,Not convicted,No
Haryana,2022,Fraud,Tax evasion,Panipat,Confession statements,Narcotics Division,Closed,Not convicted,No
Arunachal Pradesh,1971,Drug Trafficking,"Large drug bust at a warehouse, seizing tons of illicit substances",Along,Phone records,Bureau of Investigation,Closed,Convicted,Yes
Goa,1989,Armed Robbery,Convenience store robbed at gunpoint by two assailants,Bicholim,Photographic evidence,Highway Patrol,Closed,Convicted,No
Telangana,1976,Terrorist Attack,"Cyberterrorists hack into critical infrastructure, causing widespread chaos",Adilabad,Expert witness testimony,Cyber Crimes Unit,Closed,Not convicted,No
Chhattisgarh,1971,Child Abduction,Amber Alert issued for missing child,Durg,Photographic evidence,Special Investigations Unit,Under Investigation,Partially convicted,No
Bihar,1970,Burglary,Office burglary during the night,Gaya,Character witness testimonies,Fraud Investigation Unit,Under Investigation,Convicted,No
Tripura,2001,Domestic Violence,Spousal abuse in a domestic setting,Udaipur,Medical reports,SWAT Team,Under Investigation,Convicted,No
Maharashtra,1971,Cybercrime,Social media account hacking,Vasai-Virar,Property ownership documents,Narcotics Division,Under Investigation,Not convicted,Yes
Bihar,1977,Car Theft,Luxury SUV stolen from a suburban driveway overnight,Darbhanga,Financial transactions,Criminal Investigation Division,Closed,Partially convicted,No
Uttarakhand,1997,Terrorism,Bombing at a crowded public event,Ramnagar,Confession statements,Criminal Investigation Division,Under Investigation,Partially convicted,No
Madhya Pradesh,1978,Embezzlement,Employee theft from a retail store,Indore,Crime scene photographs,Metropolitan Police Department,Closed,Partially convicted,Yes
Uttarakhand,1992,Child Abduction,Child abduction by a stranger at a playground,Kashipur,Expert witness testimony,State Police Department,Open,Convicted,Yes
Uttarakhand,1979,Fraudulent Schemes,Identity theft ring steals identities to open fraudulent bank accounts,Haldwani,"Physical evidence (e.g., fingerprints, DNA)",Cyber Crimes Unit,Open,Partially convicted,No
Assam,1998,Homicide,Domestic murder-suicide,Golaghat,Vehicle registration records,Highway Patrol,Open,Not convicted,Yes
Himachal Pradesh,1987,Theft,Pickpocketing in a crowded market,Kangra,"Digital evidence (e.g., emails, text messages)",SWAT Team,Closed,Partially convicted,Yes
Assam,1977,Theft,Pickpocketing in a crowded market,Jorhat,Expert witness testimony,Major Crimes Unit,Open,Partially convicted,Yes
Chhattisgarh,2009,Arson,Setting fire to a vacant building,Rajnandgaon,Vehicle registration records,Criminal Investigation Division,Closed,Convicted,Yes
Rajasthan,1981,Child Abduction,Child abduction by a stranger at a playground,Alwar,Character witness testimonies,Traffic Enforcement Unit,Closed,Not convicted,Yes
Mizoram,2020,Terrorism,Chemical attack in a subway station,Kolasib,Photographic evidence,Major Crimes Unit,Closed,Convicted,Yes
Karnataka,1994,Public Corruption,Corrupt city official siphons public funds for personal use,Mangalore,"Physical evidence (e.g., fingerprints, DNA)",Traffic Enforcement Unit,Open,Convicted,No
Gujarat,2004,Assault,Physical altercation at a bar,Bharuch,Character witness testimonies,Special Operations Division,Open,Not convicted,No
Gujarat,2020,Money Laundering,International wire transfers facilitate movement of dirty money across borders,Anand,Phone records,Criminal Investigation Division,Closed,Convicted,No
Haryana,2001,Car Theft,Carjacking of a taxi cab by a lone assailant,Ambala,Photographic evidence,Community Policing Unit,Under Investigation,Not convicted,Yes
Assam,2006,Human Trafficking,"Forced labor operation discovered, exploiting migrant workers",Silchar,Video surveillance footage,Special Operations Division,Under Investigation,Convicted,No
Bihar,1982,Hate Crime,Assault on LGBTQ+ individual in a hate-motivated attack,Katihar,Witness statements,Special Operations Division,Open,Not convicted,No
Arunachal Pradesh,1978,Sexual Assault,Date rape at a college party,Daporijo,Eyewitness accounts,Special Investigations Unit,Under Investigation,Partially convicted,No
Assam,2004,Child Abduction,Parental kidnapping during a custody dispute,Silchar,Audio recordings,City Police Department,Under Investigation,Not convicted,No
Andhra Pradesh,2018,Drug Possession,Possession of illegal substances during a traffic stop,Vijayawada,Witness statements,Metropolitan Police Department,Open,Partially convicted,No
Tamil Nadu,2002,Human Trafficking,"Sex trafficking ring exposed, rescuing victims from captivity",Vellore,Financial transactions,K-9 Unit,Under Investigation,Convicted,Yes
Bihar,1985,Forgery,Forgery of legal documents for identity theft,Purnia,"Digital evidence (e.g., emails, text messages)",Bureau of Investigation,Closed,Convicted,No
Mizoram,1990,Drug Possession,Drug deal in a park,Lunglei,Bank statements,Community Policing Unit,Under Investigation,Partially convicted,Yes
Uttar Pradesh,1980,Terrorist Attack,Chemical attack on government building leads to evacuation and decontamination efforts,Saharanpur,Forensic analysis reports,K-9 Unit,Open,Convicted,No
Tamil Nadu,1988,Organized Crime,Organized crime syndicate implicated in large-scale money laundering operation,Tiruppur,Expert witness testimony,Community Policing Unit,Closed,Partially convicted,No
Mizoram,1970,Terrorist Attack,"Terrorist plot foiled by intelligence agencies, preventing major catastrophe",Saiha,Witness statements,Major Crimes Unit,Closed,Convicted,Yes
Jharkhand,1987,Child Abduction,Child abduction by a stranger at a playground,Hazaribagh,Crime scene photographs,Criminal Investigation Division,Under Investigation,Convicted,No
